 time            time            time            N1              time            N2              time            N3              time            N4             
 1.00000000e-07  1.00000000e-07  1.00000000e-07  1.79994998e+00  1.00000000e-07  1.79994994e+00  1.00000000e-07  1.79995190e+00  1.00000000e-07  1.79995186e+00 
 1.02822552e-07  1.02822552e-07  1.02822552e-07  1.80000589e+00  1.02822552e-07  1.80000723e+00  1.02822552e-07  1.80000681e+00  1.02822552e-07  1.80000815e+00 
 1.08467657e-07  1.08467657e-07  1.08467657e-07  1.79999959e+00  1.08467657e-07  1.80000619e+00  1.08467657e-07  1.80003205e+00  1.08467657e-07  1.80003918e+00 
 1.19757867e-07  1.19757867e-07  1.19757867e-07  1.80000068e+00  1.19757867e-07  1.80000444e+00  1.19757867e-07  1.80003069e+00  1.19757867e-07  1.80003552e+00 
 1.33967248e-07  1.33967248e-07  1.33967248e-07  1.79998235e+00  1.33967248e-07  1.79997825e+00  1.33967248e-07  1.80002224e+00  1.33967248e-07  1.80002192e+00 
 1.56443402e-07  1.56443402e-07  1.56443402e-07  1.79984935e+00  1.56443402e-07  1.79781722e+00  1.56443402e-07  1.79985865e+00  1.56443402e-07  1.79782972e+00 
 2.01395710e-07  2.01395710e-07  2.01395710e-07  1.74819142e+00  2.01395710e-07  4.05992748e-01  2.01395710e-07  1.74818817e+00  2.01395710e-07  4.07353901e-01 
 2.46859336e-07  2.46859336e-07  2.46859336e-07  3.08122601e-01  2.46859336e-07  1.38465292e-03  2.46859336e-07  3.09631124e-01  2.46859336e-07  1.37437812e-03 
 2.94340847e-07  2.94340847e-07  2.94340847e-07  9.08804973e-03  2.94340847e-07  1.30948535e-04  2.94340847e-07  9.13718274e-03  2.94340847e-07  1.34475400e-04 
 3.48738678e-07  3.48738678e-07  3.48738678e-07  6.69623176e-04  3.48738678e-07 -8.61922660e-05  3.48738678e-07  6.79879077e-04  3.48738678e-07 -8.99079872e-05 
 4.31333398e-07  4.31333398e-07  4.31333398e-07 -9.36560616e-05  4.31333398e-07  8.50191347e-05  4.31333398e-07 -1.01228202e-04  4.31333398e-07  8.89076711e-05 
 5.11366922e-07  5.11366922e-07  5.11366922e-07  9.41253131e-05  5.11366922e-07 -8.50403028e-05  5.11366922e-07  1.00072520e-04  5.11366922e-07 -8.93713538e-05 
 6.71433969e-07  6.71433969e-07  6.71433969e-07 -8.93732169e-05  6.71433969e-07  8.48280742e-05  6.71433969e-07 -9.52261269e-05  6.71433969e-07  8.92325176e-05 
 9.91568064e-07  9.91568064e-07  9.91568064e-07  8.99738241e-05  9.91568064e-07 -8.49149481e-05  9.91568064e-07  9.57656204e-05  9.91568064e-07 -8.94657307e-05 
 1.35021210e-06  1.35021210e-06  1.35021210e-06 -8.89787000e-05  1.35021210e-06  8.48177069e-05  1.35021210e-06 -9.47335320e-05  1.35021210e-06  8.93626656e-05 
 2.06750018e-06  2.06750018e-06  2.06750018e-06  8.98883172e-05  2.06750018e-06 -8.48741960e-05  2.06750018e-06  9.56180802e-05  2.06750018e-06 -8.95216449e-05 
 2.83352771e-06  2.83352771e-06  2.83352771e-06 -8.89918115e-05  2.83352771e-06  8.48152844e-05  2.83352771e-06 -9.47092325e-05  2.83352771e-06  8.94222650e-05 
 3.89149102e-06  3.89149102e-06  3.89149102e-06  8.99012239e-05  3.89149102e-06 -8.48452560e-05  3.89149102e-06  9.55883743e-05  3.89149102e-06 -8.95524259e-05 
 5.79113723e-06  5.79113723e-06  5.79113723e-06 -8.87240249e-05  5.79113723e-06  8.50872910e-05  5.79113723e-06 -9.47009917e-05  5.79113723e-06  8.94537068e-05 
 7.75910654e-06  7.75910654e-06  7.75910654e-06  9.00237369e-05  7.75910654e-06 -8.47753697e-05  7.75910654e-06  9.55765766e-05  7.75910654e-06 -8.95661674e-05 
 9.68103068e-06  9.68103068e-06  9.68103068e-06  1.79978225e+00  9.68103068e-06  1.12528696e-04  9.68103068e-06 -9.46960304e-05  9.68103068e-06  8.94758018e-05 
