 time            vin             Vr1             i(Vread)        hx              n1              n2              n3              n4              m1              m2              m3              m4              n.x9.xrstdp1.xr2.n1#ngap n.x9.xrstdp2.xr2.n1#ngap n.x9.xrstdp3.xr2.n1#ngap n.x9.xrstdp4.xr2.n1#ngap n.x9.xrstdp5.xr2.n1#ngap n.x9.xrstdp6.xr2.n1#ngap n.x9.xrstdp7.xr2.n1#ngap n.x9.xrstdp8.xr2.n1#ngap n.x9.xrstdp9.xr2.n1#ngap n.x9.xrstdp10.xr2.n1#ngap n.x9.xrstdp11.xr2.n1#ngap n.x9.xrstdp12.xr2.n1#ngap n.x9.xrstdp13.xr2.n1#ngap n.x9.xrstdp14.xr2.n1#ngap n.x9.xrstdp15.xr2.n1#ngap
 0.00000000e+00  1.40000000e+00  2.88616476e-03  8.06740678e-07  7.25841940e-03  2.09509568e-04  4.41613709e-05  2.08457690e-04  4.41816100e-05 -1.06412329e-04  8.73627692e-05 -1.06412294e-04  8.73487334e-05  9.39515515e-01  9.36522280e-01  9.39515774e-01  9.36522302e-01  9.65575996e-01  9.74983576e-01  9.65575988e-01  9.74983599e-01  9.39484162e-01  9.36579728e-01  9.39484162e-01  9.36579767e-01  9.65572199e-01  9.75003609e-01  9.65572200e-01 
 2.00000000e-10  1.40000754e+00  2.88612696e-03  8.06565644e-07  7.25906397e-03  3.20721120e-05  6.70649806e-06  3.21732831e-05  6.78912423e-06 -1.62818108e-05  1.32375190e-05 -1.62818034e-05  1.32353536e-05  9.39514272e-01  9.36512262e-01  9.39514531e-01  9.36512284e-01  9.65574680e-01  9.74979380e-01  9.65574672e-01  9.74979403e-01  9.39482971e-01  9.36569757e-01  9.39482970e-01  9.36569796e-01  9.65570887e-01  9.74999414e-01  9.65570889e-01 
 4.00000000e-10  1.40001508e+00  2.88611865e-03  8.06483182e-07  7.25986414e-03  5.09642184e-06  1.22801961e-06  5.18501355e-06  1.28172464e-06 -2.36288587e-06  2.18226719e-06 -2.36288475e-06  2.18193178e-06  9.39513779e-01  9.36510775e-01  9.39514037e-01  9.36510798e-01  9.65575051e-01  9.74978735e-01  9.65575044e-01  9.74978758e-01  9.39482477e-01  9.36568270e-01  9.39482476e-01  9.36568310e-01  9.65571258e-01  9.74998767e-01  9.65571259e-01 
 8.00000000e-10  1.40003014e+00  2.88611035e-03  8.06413534e-07  7.26126562e-03 -3.13271766e-06 -4.48993336e-07 -3.10869745e-06 -4.16226271e-07  2.01159132e-06 -1.12679427e-06  2.01159289e-06 -1.12656367e-06  9.39513663e-01  9.36510363e-01  9.39513921e-01  9.36510385e-01  9.65575257e-01  9.74978567e-01  9.65575250e-01  9.74978591e-01  9.39482358e-01  9.36567855e-01  9.39482358e-01  9.36567895e-01  9.65571463e-01  9.74998599e-01  9.65571465e-01 
 1.60000000e-09  1.40006026e+00  2.88610262e-03  8.06436375e-07  7.26305074e-03  3.05734772e-06  8.10521611e-07  3.10623985e-06  8.53525512e-07 -1.23593894e-06  1.38029661e-06 -1.23593480e-06  1.38010042e-06  9.39513856e-01  9.36510801e-01  9.39514114e-01  9.36510823e-01  9.65575359e-01  9.74978785e-01  9.65575351e-01  9.74978808e-01  9.39482552e-01  9.36568294e-01  9.39482551e-01  9.36568333e-01  9.65571565e-01  9.74998817e-01  9.65571566e-01 
 3.20000000e-09  1.40012038e+00  2.88609781e-03  8.06442396e-07  7.26438351e-03 -2.33744669e-06 -2.86024929e-07 -2.30695844e-06 -2.51524175e-07  1.57714025e-06 -8.11538623e-07  1.57714007e-06 -8.11364040e-07  9.39513908e-01  9.36510679e-01  9.39514167e-01  9.36510701e-01  9.65575737e-01  9.74978786e-01  9.65575729e-01  9.74978809e-01  9.39482604e-01  9.36568171e-01  9.39482603e-01  9.36568211e-01  9.65571942e-01  9.74998817e-01  9.65571944e-01 
 6.40000000e-09  1.40024026e+00  2.88609798e-03  8.06453302e-07  7.26393582e-03  2.70109764e-06  7.37572368e-07  2.74606427e-06  7.79483105e-07 -1.04406465e-06  1.23856983e-06 -1.04406335e-06  1.23839851e-06  9.39514325e-01  9.36511314e-01  9.39514583e-01  9.36511336e-01  9.65576156e-01  9.74979173e-01  9.65576148e-01  9.74979196e-01  9.39483021e-01  9.36568807e-01  9.39483020e-01  9.36568846e-01  9.65572361e-01  9.74999205e-01  9.65572362e-01 
 1.28000000e-08  1.40047851e+00  2.88609757e-03  8.06452390e-07  7.26172242e-03 -2.17096173e-06 -2.51905014e-07 -2.13869161e-06 -2.16833272e-07  1.48550996e-06 -7.45339362e-07  1.48550752e-06 -7.45174430e-07  9.39514890e-01  9.36511733e-01  9.39515148e-01  9.36511755e-01  9.65576926e-01  9.74979579e-01  9.65576918e-01  9.74979602e-01  9.39483586e-01  9.36569225e-01  9.39483585e-01  9.36569264e-01  9.65573130e-01  9.74999611e-01  9.65573132e-01 
 2.56000000e-08  1.40094893e+00  2.88609778e-03  8.06459373e-07  7.25940523e-03  2.61923798e-06  7.20814022e-07  2.66357816e-06  7.62732408e-07 -1.00028178e-06  1.20589390e-06 -1.00028289e-06  1.20573200e-06  9.39516317e-01  9.36513371e-01  9.39516576e-01  9.36513393e-01  9.65578018e-01  9.74980745e-01  9.65578010e-01  9.74980769e-01  9.39485014e-01  9.36570863e-01  9.39485013e-01  9.36570902e-01  9.65574223e-01  9.75000778e-01  9.65574224e-01 
 4.56000000e-08  1.40166776e+00  2.88609759e-03  8.06460067e-07  7.25825643e-03 -2.12733451e-06 -2.43040408e-07 -2.09410806e-06 -2.07333410e-07  1.46158318e-06 -7.28022561e-07  1.46157956e-06 -7.27855787e-07  9.39518317e-01  9.36515241e-01  9.39518576e-01  9.36515263e-01  9.65579822e-01  9.74982267e-01  9.65579814e-01  9.74982290e-01  9.39487014e-01  9.36572731e-01  9.39487013e-01  9.36572771e-01  9.65576026e-01  9.75002299e-01  9.65576027e-01 
